Customer ID,Credit Limit,Utilisation %,Avg Payment Ratio,Min Due Paid Frequency,Merchant Mix Index,Cash Withdrawal %,Recent Spend Change %,DPD Bucket Next Month,spending_decline_flag,spending_stress,high_utilization_flag,utilization_risk,payment_risk_ratio,low_payment_frequency,payment_stress,high_cash_withdrawal,cash_stress_indicator,narrow_merchant_mix,utilization_payment_mismatch,spending_utilization_stress,payment_utilization_critical,early_risk_score
C037,30000,93,83,86,0.95,16,4,0,0,0,1,3,0.9148936170212766,0,0,1,1,0,0,0,0,0.3333333333333333
C038,120000,39,62,14,0.66,6,30,2,0,0,0,0,0.35,1,2,0,0,0,0,0,0,0.16666666666666666
C039,160000,71,53,91,0.51,24,-25,0,1,2,0,2,1.2638888888888888,0,0,1,2,0,1,1,0,0.43333333333333335
C040,55000,84,65,97,0.71,12,-13,0,0,1,1,2,1.1411764705882352,0,0,0,1,0,0,0,0,0.31666666666666665
C041,60000,98,67,65,0.57,3,20,0,0,0,1,3,0.6565656565656566,0,0,0,0,0,0,0,0,0.3
C042,195000,71,54,31,0.64,3,-26,3,1,2,0,2,0.4305555555555556,0,1,0,0,0,1,1,0,0.45
C043,90000,10,47,86,0.95,5,16,0,0,0,0,0,7.818181818181818,0,0,0,0,0,0,0,0,0.0
C044,105000,36,95,62,0.51,18,-6,0,0,0,0,0,1.6756756756756757,0,0,1,1,0,0,0,0,0.03333333333333333
C045,200000,71,83,85,0.97,11,-29,0,1,2,0,2,1.1805555555555556,0,0,0,1,0,0,1,0,0.4000000000000001
C046,40000,86,64,50,0.92,21,-21,0,1,2,1,2,0.5747126436781609,0,0,1,2,0,0,1,0,0.43333333333333335
C047,30000,12,90,24,0.36,6,25,0,0,0,0,0,1.8461538461538463,1,1,0,0,1,0,0,0,0.11666666666666665
C048,50000,79,70,57,0.26,9,-1,0,0,0,0,2,0.7125,0,0,0,0,1,0,0,0,0.2333333333333333
C049,40000,81,62,62,0.28,18,19,0,0,0,1,2,0.7560975609756098,0,0,1,1,1,0,0,0,0.26666666666666666
C050,165000,36,97,61,0.21,6,28,0,0,0,0,0,1.6486486486486487,0,0,0,0,1,0,0,0,0.03333333333333333
C051,110000,18,62,21,0.28,2,14,0,0,0,0,0,1.105263157894737,1,1,0,0,1,0,0,0,0.11666666666666665
C052,150000,71,43,57,0.75,12,-26,0,1,2,0,2,0.7916666666666666,0,0,0,1,0,1,1,0,0.4000000000000001
C053,190000,46,50,57,0.26,12,24,0,0,0,0,0,1.2127659574468086,0,0,0,1,1,0,0,0,0.06666666666666667
C054,70000,60,77,85,0.46,17,25,0,0,0,0,1,1.3934426229508197,0,0,1,1,0,0,0,0,0.13333333333333333
C055,200000,53,49,48,0.88,19,2,2,0,0,0,1,0.8888888888888888,0,0,1,1,0,0,0,0,0.13333333333333333
C056,90000,33,37,51,0.22,7,23,0,0,0,0,0,1.5,0,0,0,0,1,0,0,0,0.03333333333333333
C057,175000,88,36,41,0.85,8,-30,0,1,2,1,2,0.4606741573033708,0,0,0,0,0,1,1,0,0.3666666666666667
C058,95000,68,96,69,0.43,6,-13,0,0,1,0,1,1.0,0,0,0,0,0,0,0,0,0.18333333333333335
C059,60000,41,46,14,0.29,0,1,0,0,0,0,0,0.3333333333333333,1,2,0,0,1,0,0,0,0.19999999999999998
C060,90000,97,62,53,0.76,2,16,0,0,0,1,3,0.5408163265306123,0,0,0,0,0,0,0,0,0.3
C061,135000,61,77,59,0.7,12,18,0,0,0,0,1,0.9516129032258065,0,0,0,1,0,0,0,0,0.13333333333333333
C062,125000,71,88,100,0.9,24,-20,0,1,1,0,2,1.3888888888888888,0,0,1,2,0,0,1,0,0.35000000000000003
C063,100000,67,51,96,0.79,16,-10,0,0,0,0,1,1.411764705882353,0,0,1,1,0,0,0,0,0.13333333333333333
C064,110000,61,59,7,0.84,24,-5,0,0,0,0,1,0.11290322580645161,1,2,1,2,0,0,0,0,0.3333333333333333
C065,140000,21,67,52,0.43,23,-6,0,0,0,0,0,2.3636363636363638,0,0,1,2,0,0,0,0,0.06666666666666667
C066,150000,48,80,59,0.34,0,-9,0,0,0,0,0,1.2040816326530612,0,0,0,0,1,0,0,0,0.03333333333333333
C067,145000,11,83,4,0.8,5,28,0,0,0,0,0,0.3333333333333333,1,2,0,0,0,0,0,0,0.16666666666666666
C068,165000,12,37,67,0.85,20,-4,0,0,0,0,0,5.153846153846154,0,0,1,2,0,0,0,0,0.06666666666666667
C069,95000,65,56,5,0.99,5,18,0,0,0,0,1,0.07575757575757576,1,2,0,0,0,0,0,0,0.26666666666666666
C070,25000,90,56,95,0.53,11,-18,0,1,1,1,3,1.043956043956044,0,0,0,1,0,1,1,0,0.4166666666666667
C071,145000,68,50,93,0.5,12,2,0,0,0,0,1,1.3478260869565217,0,0,0,1,0,0,0,0,0.13333333333333333
C072,55000,11,59,46,0.82,12,3,1,0,0,0,0,3.8333333333333335,0,0,0,1,0,0,0,0,0.03333333333333333
C073,65000,11,57,98,0.47,14,10,0,0,0,0,0,8.166666666666666,0,0,0,1,0,0,0,0,0.03333333333333333
C074,140000,63,93,54,0.94,20,4,0,0,0,0,1,0.84375,0,0,1,2,0,0,0,0,0.16666666666666666
C075,25000,96,98,39,0.89,15,-30,2,1,2,1,3,0.4020618556701031,0,1,1,1,0,0,1,0,0.5833333333333334
C076,60000,10,90,51,0.54,21,-10,2,0,0,0,0,4.636363636363637,0,0,1,2,0,0,0,0,0.06666666666666667
C077,140000,28,77,15,0.8,20,17,0,0,0,0,0,0.5172413793103449,1,2,1,2,0,0,0,0,0.2333333333333333
C078,75000,11,48,12,0.8,10,24,0,0,0,0,0,1.0,1,2,0,1,0,0,0,0,0.19999999999999998
C079,105000,62,33,29,0.28,4,-25,1,1,2,0,1,0.4603174603174603,1,1,0,0,1,0,1,0,0.38333333333333336
C080,60000,53,64,18,0.92,3,-3,1,0,0,0,1,0.3333333333333333,1,2,0,0,0,0,0,0,0.26666666666666666
C081,195000,99,93,16,0.6,2,-14,0,0,1,1,3,0.16,1,2,0,0,0,0,0,1,0.5499999999999999
C082,195000,41,78,62,0.86,18,-26,0,1,2,0,0,1.4761904761904763,0,0,1,1,0,0,0,0,0.19999999999999998
C083,185000,79,46,18,0.46,19,0,0,0,0,0,2,0.225,1,2,1,1,0,1,0,1,0.4000000000000001
C084,45000,41,73,91,0.92,24,-26,0,1,2,0,0,2.1666666666666665,0,0,1,2,0,0,0,0,0.2333333333333333
C085,160000,77,59,57,0.51,17,7,0,0,0,0,2,0.7307692307692307,0,0,1,1,0,1,0,0,0.2333333333333333
C086,55000,64,75,54,0.21,14,-28,0,1,2,0,1,0.8307692307692308,0,0,0,1,1,0,1,0,0.3333333333333333
C087,65000,84,35,89,0.92,8,22,0,0,0,1,2,1.0470588235294118,0,0,0,0,0,1,0,0,0.19999999999999998
C088,60000,65,66,100,0.27,16,-8,1,0,0,0,1,1.5151515151515151,0,0,1,1,1,0,0,0,0.16666666666666666
C089,80000,26,53,89,0.46,13,6,0,0,0,0,0,3.2962962962962963,0,0,0,1,0,0,0,0,0.03333333333333333
C090,190000,47,75,61,0.96,14,22,0,0,0,0,0,1.2708333333333333,0,0,0,1,0,0,0,0,0.03333333333333333
C091,185000,33,82,22,0.96,0,6,1,0,0,0,0,0.6470588235294118,1,1,0,0,0,0,0,0,0.08333333333333333
C092,135000,78,89,8,0.66,20,-21,2,1,2,0,2,0.10126582278481013,1,2,1,2,0,0,1,1,0.6
C093,140000,79,92,11,0.71,21,-21,0,1,2,0,2,0.1375,1,2,1,2,0,0,1,1,0.6
C094,195000,95,61,0,0.56,21,-12,0,0,1,1,3,0.0,1,2,1,2,0,0,0,1,0.6166666666666666
C095,130000,20,62,57,0.43,2,-14,0,0,1,0,0,2.7142857142857144,0,0,0,0,0,0,0,0,0.08333333333333333
C096,155000,25,96,0,0.46,15,-10,0,0,0,0,0,0.0,1,2,1,1,0,0,0,0,0.19999999999999998
C097,195000,82,47,33,0.74,22,-17,0,1,1,1,2,0.39759036144578314,0,1,1,2,0,1,1,0,0.43333333333333335
C098,25000,68,54,95,0.8,24,-22,0,1,2,0,1,1.3768115942028984,0,0,1,2,0,0,1,0,0.3333333333333333
C099,195000,79,83,47,0.83,10,15,0,0,0,0,2,0.5875,0,0,0,1,0,0,0,0,0.2333333333333333
C100,90000,89,87,88,0.83,11,-30,0,1,2,1,2,0.9777777777777777,0,0,0,1,0,0,1,0,0.4000000000000001
